,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,date,game_number,team_y,passing_yards,rushing_yards
194,2016-10-23,2016,7,JAX,16.0,33.0,-17.0,JAX,JAX2016-10-23,2016-10-23,6,JAX,246,105
195,2016-10-23,2016,7,KC,27.0,21.0,6.0,KC,KC2016-10-23,2016-10-23,6,KC,214,112
196,2016-10-23,2016,7,LAR,10.0,17.0,-7.0,LAR,LAR2016-10-23,2016-10-23,7,LAR,291,74
197,2016-10-23,2016,7,MIA,28.0,25.0,3.0,MIA,MIA2016-10-23,2016-10-23,7,MIA,204,256
198,2016-10-23,2016,7,MIN,10.0,21.0,-11.0,PHI,MIN2016-10-23,2016-10-23,6,MIN,224,93
199,2016-10-23,2016,7,NE,27.0,16.0,11.0,PIT,NE2016-10-23,2016-10-23,7,NE,222,140
200,2016-10-23,2016,7,NO,21.0,27.0,-6.0,KC,NO2016-10-23,2016-10-23,6,NO,367,104
201,2016-10-23,2016,7,NYG,17.0,10.0,7.0,LAR,NYG2016-10-23,2016-10-23,7,NYG,196,36
202,2016-10-23,2016,7,NYJ,24.0,16.0,8.0,NYJ,NYJ2016-10-23,2016-10-23,7,NYJ,215,155
203,2016-10-23,2016,7,OAK,33.0,16.0,17.0,JAX,OAK2016-10-23,2016-10-23,7,OAK,200,144
204,2016-10-23,2016,7,PHI,21.0,10.0,11.0,PHI,PHI2016-10-23,2016-10-23,6,PHI,138,101
205,2016-10-23,2016,7,PIT,16.0,27.0,-11.0,PIT,PIT2016-10-23,2016-10-23,7,PIT,281,94
206,2016-10-23,2016,7,SDG,33.0,30.0,3.0,ATL,SDG2016-10-23,2016-10-23,7,SDG,371,78
207,2016-10-23,2016,7,SEA,6.0,6.0,0.0,ARI,SEA2016-10-23,2016-10-23,6,SEA,225,52
208,2016-10-23,2016,7,SF,17.0,34.0,-17.0,SF,SF2016-10-23,2016-10-23,7,SF,143,160
209,2016-10-23,2016,7,TB,34.0,17.0,17.0,SF,TB2016-10-23,2016-10-23,6,TB,269,249
210,2016-10-23,2016,7,TEN,26.0,34.0,-8.0,TEN,TEN2016-10-23,2016-10-23,7,TEN,232,124
211,2016-10-23,2016,7,WAS,17.0,20.0,-3.0,DET,WAS2016-10-23,2016-10-23,7,WAS,301,130
212,2016-10-24,2016,7,DEN,27.0,9.0,18.0,DEN,DEN2016-10-24,2016-10-24,7,DEN,157,190
213,2016-10-24,2016,7,HOU,9.0,27.0,-18.0,DEN,HOU2016-10-24,2016-10-24,7,HOU,131,140
214,2016-10-27,2016,8,JAX,22.0,36.0,-14.0,TEN,JAX2016-10-27,2016-10-27,7,JAX,337,48
215,2016-10-27,2016,8,TEN,36.0,22.0,14.0,TEN,TEN2016-10-27,2016-10-27,8,TEN,280,214
216,2016-10-30,2016,8,ARI,20.0,30.0,-10.0,CAR,ARI2016-10-30,2016-10-30,8,ARI,363,24
217,2016-10-30,2016,8,ATL,33.0,32.0,1.0,ATL,ATL2016-10-30,2016-10-30,8,ATL,288,90
218,2016-10-30,2016,8,BUF,25.0,41.0,-16.0,BUF,BUF2016-10-30,2016-10-30,8,BUF,218,167
