,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,game_number,team_y,passing_yards,rushing_yards
208,2016-11-07,2016,9,SEA,31.0,25.0,6.0,SEA,2016SEA9,9,SEA,348,96
209,2016-11-10,2016,10,BAL,28.0,7.0,21.0,BAL,2016BAL10,10,BAL,269,101
210,2016-11-10,2016,10,CLE,7.0,28.0,-21.0,BAL,2016CLE10,10,CLE,150,33
211,2016-11-13,2016,10,ARI,23.0,20.0,3.0,ARI,2016ARI10,10,ARI,198,135
212,2016-11-13,2016,10,ATL,15.0,24.0,-9.0,PHI,2016ATL10,10,ATL,267,48
213,2016-11-13,2016,10,CAR,17.0,20.0,-3.0,CAR,2016CAR10,10,CAR,192,50
214,2016-11-13,2016,10,CHI,10.0,36.0,-26.0,TB,2016CHI10,10,CHI,252,93
215,2016-11-13,2016,10,DAL,35.0,30.0,5.0,PIT,2016DAL10,10,DAL,301,118
216,2016-11-13,2016,10,DEN,25.0,23.0,2.0,NO,2016DEN10,10,DEN,258,103
217,2016-11-13,2016,10,HOU,24.0,21.0,3.0,JAX,2016HOU10,10,HOU,243,124
218,2016-11-13,2016,10,JAX,21.0,24.0,-3.0,JAX,2016JAX10,10,JAX,202,83
219,2016-11-13,2016,10,LAR,9.0,6.0,3.0,NYJ,2016LAR10,10,LAR,134,102
220,2016-11-13,2016,10,MIA,31.0,24.0,7.0,LAC,2016MIA10,10,MIA,172,98
221,2016-11-13,2016,10,MIN,20.0,26.0,-6.0,WAS,2016MIN10,10,MIN,169,72
222,2016-11-13,2016,10,NYJ,6.0,9.0,-3.0,NYJ,2016NYJ10,10,NYJ,163,139
223,2016-11-13,2016,10,PHI,24.0,15.0,9.0,PHI,2016PHI10,10,PHI,218,113
224,2016-11-13,2016,10,PIT,30.0,35.0,-5.0,PIT,2016PIT10,10,PIT,167,146
225,2016-11-13,2016,10,SEA,31.0,24.0,7.0,NE,2016SEA10,10,SEA,287,152
